CPe,Ae,CSe,BSe
4551.2041,87.654434,44.460297,152.66435
7912.7275,111.54337,71.424561,66.432785
7671.0239,128.16588,84.228554,164.43459
7425.4834,53.391075,102.90459,91.298904
6111.9136,126.45667,49.213589,113.30782
7695.9399,37.54039,98.721382,155.58937
6822.1592,220.35295,77.148453,254.35815
9662.6514,95.672379,95.058388,113.49232
8855.5801,112.06526,106.72787,82.018211
11684.671,149.76218,60.942406,45.681606
6727.6255,44.41547,17.300106,-44.238976
