conacct,p_L,p_H1,p_H2,p_H3,size,SHH_G,CONTROLS_house_1,CONTROLS_house_2,CONTROLS_low_skill,CONTROLS_hhemp2,CONTROLS_hhemp3,CONTROLS_age2,CONTROLS_age3,CONTROLS_INC,CONTROLS_barangay_id
111037,0,15.3257546954685,31.5552897276702,41.1401774794967,3,1,0,1,0,1,0,1,0,10000,7501173
124880,0,15.3257546954685,31.5552897276702,41.1401774794967,3,1,0,1,1,0,0,0,0,10000,7501176
130109,0,15.3257546954685,31.5552897276702,41.1401774794967,7,1,0,0,0,1,0,0,1,10000,7501177
137205,0,15.3257546954685,31.5552897276702,41.1401774794967,6,1,1,0,0,1,0,0,1,10000,7501179
138441,0,15.3257546954685,31.5552897276702,41.1401774794967,4,1,1,0,1,0,0,0,0,10000,7501180
140388,0,15.3257546954685,31.5552897276702,41.1401774794967,5,1,0,1,1,0,0,0,1,10000,7501183
140987,0,15.3257546954685,31.5552897276702,41.1401774794967,5,1,0,1,0,0,0,0,1,10000,7501185
141038,0,15.3257546954685,31.5552897276702,41.1401774794967,6,1,0,0,1,0,0,1,0,10000,7501185
141194,0,15.3257546954685,31.5552897276702,41.1401774794967,1,1,1,0,1,0,0,0,0,10000,7501185
141834,0,15.3257546954685,31.5552897276702,41.1401774794967,6,1,0,1,0,1,0,0,1,10000,7501186
143342,0,15.3257546954685,31.5552897276702,41.1401774794967,6,1,0,1,0,0,0,1,0,10000,7501187
143547,0,15.3257546954685,31.5552897276702,41.1401774794967,5,1,0,1,1,0,0,1,0,10000,7501188
144363,0,15.3257546954685,31.5552897276702,41.1401774794967,5,1,0,1,1,1,0,0,0,10000,7501188
145571,0,15.3257546954685,31.5552897276702,41.1401774794967,1,1,0,1,0,0,0,1,0,10000,7502003
145511,0,15.3257546954685,31.5552897276702,41.1401774794967,7,1,0,1,0,0,1,0,1,10000,7502003
147130,0,15.3257546954685,31.5552897276702,41.1401774794967,3,1,0,1,0,1,0,1,0,10000,7502005
147817,0,15.3257546954685,31.5552897276702,41.1401774794967,2,1,0,1,0,0,0,0,1,10000,7502006
147929,0,15.3257546954685,31.5552897276702,41.1401774794967,4,1,0,0,0,1,0,0,1,10000,7502006
148055,0,15.3257546954685,31.5552897276702,41.1401774794967,2,1,0,1,0,1,0,0,0,10000,7502006
148993,0,15.3257546954685,31.5552897276702,41.1401774794967,1,1,1,0,0,0,0,0,0,10000,7502009
152213,0,15.3257546954685,31.5552897276702,41.1401774794967,4,1,0,1,1,0,0,0,1,10000,7502014
