T
63
63
63
63
63
63
62
19
49
63
63
64
63
63
59
63
62
62
62
61
63
42
63
62
63
59
62
61
63
47
62
63
64
63
62
63
62
62
27
62
63
62
59
63
61
61
54
61
61
62
63
63
60
61
59
63
59
61
64
55
63
62
62
60
48
63
63
62
63
62
59
64
62
63
63
63
62
61
61
62
61
63
63
63
64
29
63
63
63
63
64
63
63
63
62
61
62
60
62
52
63
61
63
49
63
63
61
62
63
62
63
20
63
63
53
62
54
61
63
52
63
62
62
63
63
63
19
64
61
62
62
63
63
46
63
56
62
62
63
62
63
63
63
54
60
62
62
59
64
63
34
64
63
63
63
61
41
62
62
45
62
15
63
63
63
63
63
64
63
63
45
59
62
60
63
59
63
62
61
62
55
63
63
61
61
34
63
60
62
63
63
62
63
63
62
52
51
63
62
62
60
63
62
64
47
59
59
61
63
63
62
62
61
63
63
63
61
62
63
63
62
62
61
61
62
63
63
61
62
61
61
64
63
54
60
52
62
63
62
54
63
63
57
61
59
62
63
63
63
62
63
62
62
63
61
63
62
62
63
63
62
62
63
40
63
61
62
61
63
63
63
63
63
63
24
60
63
62
63
29
63
62
62
27
61
62
60
61
59
61
63
63
62
55
61
63
46
61
62
50
39
63
63
49
63
52
63
63
63
61
63
37
62
62
62
63
61
62
61
62
63
62
62
59
63
61
64
63
57
61
62
63
63
63
63
60
63
62
63
63
61
54
62
63
61
54
59
61
57
64
62
62
59
62
63
61
61
62
62
62
63
64
63
61
63
54
62
63
64
60
62
61
64
63
63
62
60
37
49
63
62
63
63
63
63
37
61
63
64
58
61
63
62
50
61
63
61
61
22
52
23
63
14
58
64
62
61
62
62
58
53
63
63
42
61
21
62
63
63
63
63
61
64
63
61
62
61
62
61
60
61
61
63
43
58
63
61
60
61
63
63
61
61
61
62
60
63
63
61
53
61
63
63
63
58
63
22
62
60
43
64
63
63
62
50
62
61
61
61
63
39
62
61
63
63
61
63
63
63
63
61
62
63
63
63
62
62
62
61
62
64
61
63
63
61
63
63
62
63
62
51
59
63
62
63
63
63
60
63
62
63
18
61
63
63
64
63
58
62
63
58
63
61
62
63
61
61
62
60
63
63
57
47
48
61
63
63
37
25
61
63
62
61
51
63
62
63
62
63
57
63
63
63
59
64
63
63
63
63
60
63
63
61
63
61
52
63
63
50
